[TRAIN]: (137/1600): reward: -12.0, rate: 0, loss: 0.009856954216957092, rho: 0.4
[TRAIN]: (138/1600): reward: -6.436523512005806, rate: 2.563476487994194, loss: 0.01106075569987297, rho: 0.4
[TRAIN]: (139/1600): reward: -12.872933626174927, rate: 0.12706637382507324, loss: 0.01240753848105669, rho: 0.4
[TRAIN]: (140/1600): reward: -13.895058803260326, rate: 0.10494119673967361, loss: 0.010139425285160542, rho: 0.4
[TRAIN]: (141/1600): reward: -7.718107223510742, rate: 4.281892776489258, loss: 0.010279214940965176, rho: 0.4
[TRAIN]: (142/1600): reward: -14.0, rate: 0, loss: 0.011148681864142418, rho: 0.4
[TRAIN]: (143/1600): reward: -5.3516552448272705, rate: 3.6483447551727295, loss: 0.010097505524754524, rho: 0.4
[TRAIN]: (144/1600): reward: -13.0, rate: 0, loss: 0.011516835540533066, rho: 0.4
[TRAIN]: (145/1600): reward: 9.60912537574768, rate: 16.60912537574768, loss: 0.010784565471112728, rho: 0.4
[TRAIN]: (146/1600): reward: -12.0, rate: 0, loss: 0.01250876672565937, rho: 0.4
[TRAIN]: (147/1600): reward: -8.791173607110977, rate: 0.20882639288902283, loss: 0.011223703622817993, rho: 0.4
[TRAIN]: (148/1600): reward: -3.5865152552723885, rate: 5.4134847447276115, loss: 0.010905301198363304, rho: 0.4
[TRAIN]: (149/1600): reward: -13.0, rate: 0, loss: 0.010013547725975513, rho: 0.4
[TRAIN]: (150/1600): reward: -11.946334395557642, rate: 0.05366560444235802, loss: 0.012845824472606182, rho: 0.4
[TRAIN]: (151/1600): reward: -5.09656286239624, rate: 5.90343713760376, loss: 0.010892977938055992, rho: 0.4
[TRAIN]: (152/1600): reward: -1.8630452174693346, rate: 5.136954782530665, loss: 0.008474452421069145, rho: 0.4
[TRAIN]: (153/1600): reward: 2.1113715283572674, rate: 10.111371528357267, loss: 0.00910121202468872, rho: 0.4
[TRAIN]: (154/1600): reward: -13.0, rate: 0, loss: 0.012798835523426533, rho: 0.4
[TRAIN]: (155/1600): reward: 2.4291277825832367, rate: 13.429127782583237, loss: 0.010992761701345444, rho: 0.4
[TRAIN]: (156/1600): reward: -12.0, rate: 0, loss: 0.011584336869418621, rho: 0.4
[TRAIN]: (157/1600): reward: -6.956224322319031, rate: 1.0437756776809692, loss: 0.015151457861065865, rho: 0.4
[TRAIN]: (158/1600): reward: -7.603888422250748, rate: 0.3961115777492523, loss: 0.014524893835186958, rho: 0.4
[TRAIN]: (159/1600): reward: -11.65864884853363, rate: 0.34135115146636963, loss: 0.010567962191998959, rho: 0.4
[TRAIN]: (160/1600): reward: -11.0, rate: 0, loss: 0.012081082910299301, rho: 0.4
[TRAIN]: (161/1600): reward: -9.274040147662163, rate: 0.7259598523378372, loss: 0.010725258849561214, rho: 0.4
[TRAIN]: (162/1600): reward: -11.304033041000366, rate: 2.695966958999634, loss: 0.008789775893092155, rho: 0.4
[TRAIN]: (163/1600): reward: -4.444862335920334, rate: 4.555137664079666, loss: 0.010196205228567123, rho: 0.4
[TRAIN]: (164/1600): reward: -4.17175817489624, rate: 5.82824182510376, loss: 0.012069625779986382, rho: 0.4
