[TRAIN]: (155/1600): reward: -54.61324527859688, rate: 2.38675471125909, loss: 0.5547707080841064, rho: 0.4
[TRAIN]: (156/1600): reward: -47.43848943710327, rate: 0.5615105929506642, loss: 0.5180793404579163, rho: 0.4
[TRAIN]: (157/1600): reward: -53.54252025485039, rate: 1.457479681289085, loss: 0.5269759893417358, rho: 0.4
[TRAIN]: (158/1600): reward: -67.0, rate: 0.0, loss: 0.47789105772972107, rho: 0.4
[TRAIN]: (159/1600): reward: -64.6795027256012, rate: 0.3204972820457018, loss: 0.6011189818382263, rho: 0.4
[TRAIN]: (160/1600): reward: -53.51990878582001, rate: 0.4800912017443636, loss: 0.48617419600486755, rho: 0.4
[TRAIN]: (161/1600): reward: -53.46049028635025, rate: 0.5395097100454191, loss: 0.5842353105545044, rho: 0.4
[TRAIN]: (162/1600): reward: -62.024476408958435, rate: 0.9755237452014478, loss: 0.5666655898094177, rho: 0.4
[TRAIN]: (163/1600): reward: -60.5274772644043, rate: 1.4725225378974482, loss: 0.5254759192466736, rho: 0.4
[TRAIN]: (164/1600): reward: -53.114490151405334, rate: 0.8855099080141139, loss: 0.5433289408683777, rho: 0.4
[TRAIN]: (165/1600): reward: -40.480665773153305, rate: 1.519334239564254, loss: 0.5698668360710144, rho: 0.4
[TRAIN]: (166/1600): reward: -44.69135993719101, rate: 2.3086400849553406, loss: 0.7384540438652039, rho: 0.4
[TRAIN]: (167/1600): reward: -51.56671553850174, rate: 2.4332844768431925, loss: 0.5498402714729309, rho: 0.4
[TRAIN]: (168/1600): reward: -70.21111157536507, rate: 1.7888884613236253, loss: 0.5733557939529419, rho: 0.4
[TRAIN]: (169/1600): reward: -47.016384184360504, rate: 0.9836157848935556, loss: 0.4831373393535614, rho: 0.4
[TRAIN]: (170/1600): reward: -48.46971833705902, rate: 1.5302816729756332, loss: 0.41123029589653015, rho: 0.4
[TRAIN]: (171/1600): reward: -35.91483545303345, rate: 2.08516456736528, loss: 0.5681021213531494, rho: 0.4
[TRAIN]: (172/1600): reward: -39.868708450347185, rate: 3.131291490092032, loss: 0.4758579432964325, rho: 0.4
[TRAIN]: (173/1600): reward: -72.0, rate: 0, loss: 0.5248599052429199, rho: 0.4
[TRAIN]: (174/1600): reward: -52.22760337591171, rate: 0.7723965981414836, loss: 0.5647080540657043, rho: 0.4
[TRAIN]: (175/1600): reward: -46.672709226608276, rate: 1.3272908673149846, loss: 0.4051804542541504, rho: 0.4
[TRAIN]: (176/1600): reward: -41.51371221989393, rate: 1.486287788793575, loss: 0.4063628613948822, rho: 0.4
[TRAIN]: (177/1600): reward: -48.993063151836395, rate: 1.0069368991127732, loss: 0.521109938621521, rho: 0.4
[TRAIN]: (178/1600): reward: -38.71809768676758, rate: 1.2819022932163353, loss: 0.49763867259025574, rho: 0.4
[TRAIN]: (179/1600): reward: -36.321644991636276, rate: 3.678355145244806, loss: 0.5420979857444763, rho: 0.4
