[TRAIN]: (95/1600): reward: -6.0240278244018555, rate: 4.9759721755981445, td_error: -0.4223081827163696, rho: 0.4
[TRAIN]: (96/1600): reward: -11.346063733100891, rate: 0.6539362668991089, td_error: -0.48155388087034223, rho: 0.4
[TRAIN]: (97/1600): reward: -1.1707541942596436, rate: 10.829245567321777, td_error: -0.5415638632141053, rho: 0.4
[TRAIN]: (98/1600): reward: -1.9838041067123413, rate: 7.016195774078369, td_error: -0.4223081827163696, rho: 0.4
[TRAIN]: (99/1600): reward: -14.0, rate: 0, td_error: -0.5196163654327393, rho: 0.4
[TRAIN]: (100/1600): reward: -11.0, rate: 0, td_error: -0.4885262131690979, rho: 0.4
[TRAIN]: (101/1600): reward: -9.205134391784668, rate: 3.794865608215332, td_error: -0.5159291315823793, rho: 0.4
[TRAIN]: (102/1600): reward: -12.454960346221924, rate: 0.5450396537780762, td_error: -0.5149987325072288, rho: 0.4
[TRAIN]: (103/1600): reward: -10.942211717367172, rate: 0.05778828263282776, td_error: -0.43781419545412065, rho: 0.4
[TRAIN]: (104/1600): reward: -1.417997408658266, rate: 6.582002639770508, td_error: -0.5140996143221855, rho: 0.4
[TRAIN]: (105/1600): reward: 2.404863119125366, rate: 14.404863357543945, td_error: -0.2746178641915321, rho: 0.4
[TRAIN]: (106/1600): reward: -7.597236275672913, rate: 4.402763843536377, td_error: -0.225274034217, rho: 0.4
[TRAIN]: (107/1600): reward: -11.0, rate: 0, td_error: -0.44730818271636963, rho: 0.4
[TRAIN]: (108/1600): reward: -13.0, rate: 0, td_error: -0.3723081827163696, rho: 0.4
[TRAIN]: (109/1600): reward: -4.00562047958374, rate: 4.99437952041626, td_error: -0.6480201741680502, rho: 0.4
[TRAIN]: (110/1600): reward: -9.621871940791607, rate: 0.3781280517578125, td_error: -0.5872065335512161, rho: 0.4
[TRAIN]: (111/1600): reward: -11.557429656386375, rate: 1.4425703287124634, td_error: -0.6234944134950637, rho: 0.4
[TRAIN]: (112/1600): reward: -13.0, rate: 0, td_error: -0.628398334980011, rho: 0.4
[TRAIN]: (113/1600): reward: -7.642806053161621, rate: 5.357193946838379, td_error: -0.637550881318748, rho: 0.4
[TRAIN]: (114/1600): reward: -10.0, rate: 0, td_error: -0.39730818271636964, rho: 0.4
[TRAIN]: (115/1600): reward: -12.0, rate: 0, td_error: -0.49596227407455445, rho: 0.4
[TRAIN]: (116/1600): reward: -6.641534090042114, rate: 0.35846590995788574, td_error: -0.4648721218109131, rho: 0.4
[TRAIN]: (117/1600): reward: -4.902551651000977, rate: 5.097448348999023, td_error: -0.374262716434896, rho: 0.4
[TRAIN]: (118/1600): reward: -2.1245837211608887, rate: 6.875416278839111, td_error: -0.30609015226364134, rho: 0.4
[TRAIN]: (119/1600): reward: -6.160001784563065, rate: 4.839998245239258, td_error: -0.7293210692703724, rho: 0.4
[TRAIN]: (120/1600): reward: -8.713397601619363, rate: 0.2866024076938629, td_error: -0.4385262131690979, rho: 0.4
[TRAIN]: (121/1600): reward: -8.445183277130127, rate: 5.554816722869873, td_error: -0.40474424362182615, rho: 0.4
[TRAIN]: (122/1600): reward: -3.704380989074707, rate: 6.295619010925293, td_error: -0.5793483108282089, rho: 0.4
[TRAIN]: (123/1600): reward: -15.0, rate: 0, td_error: -0.6196163654327392, rho: 0.4
[TRAIN]: (124/1600): reward: -11.0, rate: 0, td_error: -0.6946163654327393, rho: 0.4
